method,dataset_name,train_size,test_size,total_size,channels,time_steps,num_classes,loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
residual_gated_fusion_scalar_alpha__raw_stats_GAF_STFT,FacesUCR,200,2050,2250,1,131,14,0.6860910448904445,0.8639024390243902,0.843044287455631,0.8632804286514799,0.843044287455631,0.8502008236520967,0.8687224546897593,0.8639024390243902,0.8635793935802557
film_fusion__raw_STFT,FacesUCR,200,2050,2250,1,131,14,0.5506725945205587,0.8697560975609756,0.8177830451180645,0.852141784178805,0.8177830451180645,0.8261548380119705,0.8758422635040075,0.8697560975609756,0.8673866954158208
film_fusion__raw_GAF,FacesUCR,200,2050,2250,1,131,14,0.5878616656217633,0.8473170731707317,0.796273027581926,0.839519212881705,0.796273027581926,0.7893572638791025,0.8609323516798533,0.8473170731707317,0.8394593511850456
film_fusion__raw_stats_STFT,FacesUCR,200,2050,2250,1,131,14,0.7067008797133841,0.8312195121951219,0.8137762388668142,0.8439049042605091,0.8137762388668142,0.8217423406665973,0.8531076634523416,0.8312195121951219,0.8349896163993831
film_fusion__raw_stats_GAF_STFT,FacesUCR,200,2050,2250,1,131,14,0.5492693360698432,0.8746341463414634,0.8423535688827991,0.8715704035672829,0.8423535688827991,0.8483594544584271,0.8828945273719246,0.8746341463414634,0.8737215400017433
gated_fusion__raw_STFT,SwedishLeaf,500,625,1125,1,128,15,0.21109162969589235,0.944,0.9444198302893955,0.9477063643885739,0.9444198302893955,0.9441932339511615,0.947189488283118,0.944,0.9437645537918119
gated_fusion__raw_GAF,SwedishLeaf,500,625,1125,1,128,15,0.19169715999364853,0.9392,0.9406338015033666,0.9430291863552865,0.9406338015033666,0.9395899333815387,0.9430638973218697,0.9392,0.9388065404217408
gated_fusion__raw_stats_STFT,SwedishLeaf,500,625,1125,1,128,15,0.2692994005203247,0.9216,0.925044373646858,0.936438309661306,0.925044373646858,0.9217992895468289,0.9361825633570581,0.9216,0.919310751200746
gated_fusion__raw_stats_GAF_STFT,SwedishLeaf,500,625,1125,1,128,15,0.2244899365901947,0.9296,0.9300052226139183,0.9347041407015833,0.9300052226139183,0.9297631091725517,0.9336071302780765,0.9296,0.9290879886686982
residual_gated_fusion_vector_alpha__raw_STFT,SwedishLeaf,500,625,1125,1,128,15,0.20094723728895186,0.9408,0.9422062502497286,0.941749658029839,0.9422062502497286,0.9406308796117248,0.9415498816986537,0.9408,0.9398163606986747
residual_gated_fusion_vector_alpha__raw_GAF,SwedishLeaf,500,625,1125,1,128,15,0.19058922448158264,0.936,0.9371975080670734,0.9375912813351769,0.9371975080670734,0.9361113937476258,0.9369213040805403,0.936,0.9351855607269725
residual_gated_fusion_vector_alpha__raw_stats_STFT,SwedishLeaf,500,625,1125,1,128,15,0.13471698880195618,0.9504,0.9526029078202991,0.953379676448176,0.9526029078202991,0.9508407830955646,0.9537775713452297,0.9504,0.9497867521310598
residual_gated_fusion_vector_alpha__raw_stats_GAF_STFT,SwedishLeaf,500,625,1125,1,128,15,0.23772805738449096,0.9424,0.945064689195124,0.9428536660362808,0.945064689195124,0.9425326937465103,0.9434032890965854,0.9424,0.9413983842165251
residual_gated_fusion_scalar_alpha__raw_STFT,SwedishLeaf,500,625,1125,1,128,15,0.17419766032695772,0.944,0.9463532476575955,0.9487093928767432,0.9463532476575955,0.9442391895971303,0.9477936858656792,0.944,0.9425048718284518
residual_gated_fusion_scalar_alpha__raw_GAF,SwedishLeaf,500,625,1125,1,128,15,0.24668750438690185,0.9248,0.9292713777126358,0.9335765801359561,0.9292713777126358,0.9239178643420735,0.9338509249940242,0.9248,0.9215480369118694
residual_gated_fusion_scalar_alpha__raw_stats_STFT,SwedishLeaf,500,625,1125,1,128,15,0.3484768662452698,0.9056,0.9067472130515608,0.9167199224397986,0.9067472130515608,0.9062795678852731,0.915667986020881,0.9056,0.9052647990733512
residual_gated_fusion_scalar_alpha__raw_stats_GAF_STFT,SwedishLeaf,500,625,1125,1,128,15,0.37832672424316405,0.8512,0.8547161771398588,0.8692635460179509,0.8547161771398588,0.8504377347477841,0.8678591820853464,0.8512,0.8477695936999118
film_fusion__raw_STFT,SwedishLeaf,500,625,1125,1,128,15,0.1605875213623047,0.944,0.9452958015690934,0.9463737743811879,0.9452958015690934,0.944151227046276,0.9456940457267525,0.944,0.9432104498690514
film_fusion__raw_GAF,SwedishLeaf,500,625,1125,1,128,15,0.2534438977241516,0.9168,0.9163856261682347,0.9223136071874319,0.9163856261682347,0.9132712099034269,0.9210166684555207,0.9168,0.912998164993576
film_fusion__raw_stats_STFT,SwedishLeaf,500,625,1125,1,128,15,0.22164827542304993,0.936,0.9375606945172162,0.9374966400324755,0.9375606945172162,0.9367575890179809,0.9365424456851853,0.936,0.9355059617319367
film_fusion__raw_stats_GAF_STFT,SwedishLeaf,500,625,1125,1,128,15,0.2588467474222183,0.9376,0.9407049637114392,0.9398457079189622,0.9407049637114392,0.9377051562070704,0.9401144873802508,0.9376,0.9361222774405578
