dataset_name,method,fusion,modality_combo,coefficient,target,value,std
FacesUCR,residual_gated_fusion_vector_alpha__raw_stats_GAF_STFT,residual_gated_fusion_vector_alpha,raw_stats_GAF_STFT,alpha_abs_mean,residual_delta,0.4550568461418152,0.2903192937374115
FacesUCR,residual_gated_fusion_scalar_alpha__raw_STFT,residual_gated_fusion_scalar_alpha,raw_STFT,alpha_abs_mean,residual_delta,0.3185262084007263,0.2384050190448761
FacesUCR,residual_gated_fusion_scalar_alpha__raw_GAF,residual_gated_fusion_scalar_alpha,raw_GAF,alpha_abs_mean,residual_delta,0.21905601024627686,0.23585356771945953
FacesUCR,residual_gated_fusion_scalar_alpha__raw_stats_STFT,residual_gated_fusion_scalar_alpha,raw_stats_STFT,alpha_abs_mean,residual_delta,0.8752375841140747,0.21174399554729462
FacesUCR,residual_gated_fusion_scalar_alpha__raw_stats_GAF_STFT,residual_gated_fusion_scalar_alpha,raw_stats_GAF_STFT,alpha_abs_mean,residual_delta,0.8636969327926636,0.24867944419384003
FacesUCR,film_fusion__raw_STFT,film_fusion,raw_STFT,gamma_abs_mean,raw_modulation,0.4303032159805298,0.11606283485889435
FacesUCR,film_fusion__raw_STFT,film_fusion,raw_STFT,beta_abs_mean,raw_shift,0.26500406861305237,0.16164438426494598
FacesUCR,film_fusion__raw_GAF,film_fusion,raw_GAF,gamma_abs_mean,raw_modulation,0.4327337145805359,0.11419873684644699
FacesUCR,film_fusion__raw_GAF,film_fusion,raw_GAF,beta_abs_mean,raw_shift,0.13503840565681458,0.13216018676757812
FacesUCR,film_fusion__raw_stats_STFT,film_fusion,raw_stats_STFT,gamma_abs_mean,raw_modulation,0.37296196818351746,0.13907577097415924
FacesUCR,film_fusion__raw_stats_STFT,film_fusion,raw_stats_STFT,beta_abs_mean,raw_shift,0.30049940943717957,0.14195431768894196
FacesUCR,film_fusion__raw_stats_GAF_STFT,film_fusion,raw_stats_GAF_STFT,gamma_abs_mean,raw_modulation,0.3940025866031647,0.13229678571224213
FacesUCR,film_fusion__raw_stats_GAF_STFT,film_fusion,raw_stats_GAF_STFT,beta_abs_mean,raw_shift,0.305844247341156,0.144893079996109
SwedishLeaf,gated_fusion__raw_STFT,gated_fusion,raw_STFT,gate,raw,0.5970622301101685,0.18636903166770935
SwedishLeaf,gated_fusion__raw_STFT,gated_fusion,raw_STFT,gate,stft,0.4029378294944763,0.18636903166770935
SwedishLeaf,gated_fusion__raw_GAF,gated_fusion,raw_GAF,gate,raw,0.6735458970069885,0.21472710371017456
SwedishLeaf,gated_fusion__raw_GAF,gated_fusion,raw_GAF,gate,gaf,0.32645416259765625,0.21472710371017456
SwedishLeaf,gated_fusion__raw_stats_STFT,gated_fusion,raw_stats_STFT,gate,raw,0.3861185610294342,0.15230074524879456
SwedishLeaf,gated_fusion__raw_stats_STFT,gated_fusion,raw_stats_STFT,gate,stats,0.4198066294193268,0.13261078298091888
SwedishLeaf,gated_fusion__raw_stats_STFT,gated_fusion,raw_stats_STFT,gate,stft,0.1940748542547226,0.12373736500740051
SwedishLeaf,gated_fusion__raw_stats_GAF_STFT,gated_fusion,raw_stats_GAF_STFT,gate,raw,0.23123279213905334,0.10792656242847443
